address,lat,long,app_comment,damage,app_estimate,safe_to_live,utils_on,insured,est_home_value,priority_index
"2637 Barred Owl Way,Odenton,MD,21113",39.053923,-76.703581,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,258000,2,1,2,486000,2.123456790123457
"5155 Sudley Rd,West River,MD,20778",38.8256951,-76.58278800000002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,43000,2,2,2,505000,2.0435643564356436
"4120 Trentham Dr,Pikesville,MD,21208",39.376298999999996,-76.740521,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,246000,2,1,1,486000,2.0246913580246915
"516 Park Manor Cir,Bel Air,MD,21014",39.5289062,-76.3554292,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,83000,1,2,2,404000,1.6435643564356435
"518 Schoolhouse Rd,Sykesville,MD,21784",39.3643761,-76.97514919999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,118000,1,2,1,506000,1.399209486166008
"8015 Corporate Dr #A,Nottingham,MD,21236",39.3672796,-76.4694426,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,60000,2,1,2,531000,1.3559322033898304
"412 Cedar Springs Rd,Bel Air,MD,21015",39.500585,-76.33932949999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,29000,1,2,2,567000,0.6137566137566137
"852 Clamshell Ct,Edgewater,MD,21037",38.9100832,-76.52414250000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,254000,1,1,1,442000,0.5746606334841629
"3247 Escapade Cir,Riva,MD,21140",38.94245,-76.58775,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,42000,2,1,2,350000,0.48
"6732 Townbrook Dr,Gwynn Oak,MD,21207",39.3345119,-76.73087070000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,53000,2,1,2,541000,0.39186691312384475
"26300 Howard Chapel Dr,Damascus,MD,20872",39.2885939,-77.19593979999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,136000,1,1,1,455000,0.2989010989010989
"913 Roberval Dr,Virginia Beach,MD,23454",36.773148799999994,-75.98367320000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,222000,1,3,1,313000,4.255591054313099
"913 Roberval Dr,Virginia Beach,MD,23454",36.773148799999994,-75.98367320000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,58000,1,3,2,373000,0.9329758713136729
"25 Monroe St SE,Leesburg,MD,20175",39.1090441,-77.56456440000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,300000,1,3,2,541000,9.981515711645102
"441 Jefferson St NW,Washington,DC,20011",38.955715000000005,-77.01914099999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,133000,2,3,1,595000,4.023529411764706
"806 N Watford St,Sterling,MD,20164",39.0138182,-77.3974166,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,248000,1,2,2,498000,3.9839357429718874
"608 Rhode Island Ave NE,Washington,DC,20002",38.92123309999999,-76.99819190000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,186000,1,1,2,306000,3.6470588235294112
"20935 Sandian Ter,Sterling,MD,20165",39.036164899999996,-77.40491800000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,196000,1,2,2,445000,3.5235955056179775
"12110 Monument Dr,Fairfax,MD,22033",38.862799100000004,-77.366939,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,246000,2,2,2,581000,3.387263339070568
"76 New York Ave NW,Washington,DC,20001",38.906220700000006,-77.01169940000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,77000,2,3,2,593000,3.1163575042158516
"806 N Watford St,Sterling,MD,20164",39.0138182,-77.3974166,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,70000,2,3,2,530000,1.5849056603773586
"4114 Leisure Dr,Temple Hills,MD,20748",38.826664,-76.93576399999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,199000,1,1,2,593000,1.342327150084317
"2646 Lacrosse Pl,Waldorf,MD,20603",38.6440869,-76.9688917,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,170000,1,1,2,302000,1.1258278145695364
"12027 Infantry Ln,Bristow,MD,20136",38.721674,-77.5544859,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,68000,2,2,1,501000,1.0858283433133733
"7328 Poplar Ct,Falls Church,MD,22042",38.8728861,-77.1970175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,67000,2,1,1,301000,0.8903654485049833
"631 Elliott St NE,Washington,DC,20002",38.89823380000001,-76.9862002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,158000,1,1,2,421000,0.7505938242280285
"829 Quincy St NW #210,Washington,DC,20011",38.937914299999996,-77.02518590000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,84000,2,1,1,575000,0.5843478260869566
"20935 Sandian Ter,Sterling,MD,20165",39.036164899999996,-77.40491800000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,18000,1,3,2,586000,0.552901023890785
"12110 Monument Dr,Fairfax,MD,22033",38.862799100000004,-77.366939,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,25000,2,1,2,525000,0.38095238095238093
"38527 Ditchling Pl,Hamilton,MD,20158",39.152501799999996,-77.6708147,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,24000,1,3,2,403000,0.3573200992555831
"7059 Courtyard Way,Haymarket,MD,20169",38.824397999999995,-77.63480899999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,70000,1,1,1,495000,0.1414141414141414
"25 Kemp Dr,Pamplin,MD,23958",37.2741027,-78.5262195,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,281000,1,2,2,505000,2.225742574257426
"25 Kingscote Dr,Lottsburg,MD,22511",38.000152299999996,-76.489098,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,211000,2,1,1,467000,1.8072805139186296
"515 Robinson St,Salisbury,MD,21801",38.395653499999995,-75.6025767,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,77000,2,1,2,515000,1.7941747572815534
"26467 Quantico Creek Rd,Hebron,MD,21830",38.4016824,-75.6954636,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,51000,2,2,2,587000,1.3901192504258943
"257 Grimes Golden Rd,Linden,MD,22642",38.9247321,-78.1141473,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,87000,2,3,1,423000,1.2340425531914894
"401 Joseph Topping Dr,Poquoson,MD,23662",37.1196901,-76.3817579,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,57000,2,1,2,590000,0.7728813559322034
"10 Deerfield Dr,Luray,MD,22835",38.6632774,-78.43538199999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,193000,1,1,1,567000,0.3403880070546737
"26465 3 Bridges Rd,Federalsburg,MD,21632",38.7241,-75.788303,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,16000,1,2,1,399000,0.16040100250626566
"2640 Worrell Ct,Crofton,MD,21114",39.02508600000001,-76.685757,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,284000,2,3,0,392000,0.0
"412 Valley Meadow Cir,Reisterstown,MD,21136",39.46431679999999,-76.81184979999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,296000,2,1,0,452000,0.0
"26330 Williamsburg Rd,Federalsburg,MD,21632",38.689008,-75.7935358,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,239000,2,1,1,420000,0.0
"264 Lake Riviera Rd,Pasadena,MD,21122",39.165420000000005,-76.50470299999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,216000,1,3,0,387000,0.0
"515 Priscilla St,Salisbury,MD,21804",38.3775968,-75.58164800000002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,165000,1,3,1,327000,0.0
"25 Knightsbridge Way,Stafford,MD,22554",38.4445914,-77.39333580000002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,194000,1,1,2,451000,0.0
"25 Lucas Dr,Hampton,MD,23669",37.041056299999994,-76.34465510000003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,172000,1,2,0,405000,0.0
"6201 Church Dr,Brandywine, MD, 20613",38.692374900000004,-76.8997708,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,168000,2,3,0,444000,0.0
"2 Willow Ln,Stafford,MD,22554",38.423218799999994,-77.41609240000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,194000,2,2,1,540000,0.0
"6200 Oregon Ave NW,Washington,DC,20015",38.970932700000006,-77.0552771,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,148000,1,1,0,559000,0.0
"2631 E West Hwy,Chevy Chase,MD,20815",38.992846,-77.05570429999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,152000,2,3,0,578000,0.0
"519 Eisenhower Dr,Frederick,MD,21703",39.40803029999999,-77.4412541,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,78000,2,3,1,309000,0.0
"857 50th Pl NE,Washington,DC,20019",38.9016445,-76.9273718,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,127000,1,2,0,504000,0.0
"10809 King William Rd,Aylett,MD,23009",37.7604663,-77.1450268,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,134000,2,2,1,569000,0.0
"8725 John J Kingman Rd,Fort Belvoir,MD,22060",38.719210700000005,-77.1630271,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,77000,1,3,0,517000,0.0
"4114 Windridge Rd,Pikesville,MD,21208",39.375932299999995,-76.7595094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,44000,1,3,0,326000,0.0
"800 Southern Ave SE,Washington,DC,20032",38.8273127,-76.9947723,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,59000,2,2,0,556000,0.0
"4117 Murphys Run Ct,Hampstead,MD,21074",39.627196500000004,-76.8549116,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,41000,2,1,0,540000,0.0
